(Iter. 0 | Time: 8.62) BestSol = Solution: cost=[14337.0], size=[248]
(Iter. 1 | Time: 16.892) BestSol = Solution: cost=[14410.0], size=[248]
(Iter. 2 | Time: 24.837) BestSol = Solution: cost=[14472.0], size=[248]
(Iter. 3 | Time: 32.718) BestSol = Solution: cost=[14514.0], size=[248]
(Iter. 4 | Time: 40.764) BestSol = Solution: cost=[14534.0], size=[248]
(Iter. 5 | Time: 48.408) BestSol = Solution: cost=[14567.0], size=[248]
(Iter. 6 | Time: 56.19) BestSol = Solution: cost=[14585.0], size=[248]
(Iter. 7 | Time: 64.026) BestSol = Solution: cost=[14611.0], size=[248]
(Iter. 8 | Time: 71.836) BestSol = Solution: cost=[14623.0], size=[247]
(Iter. 9 | Time: 79.86) BestSol = Solution: cost=[14637.0], size=[247]
(Iter. 10 | Time: 87.826) BestSol = Solution: cost=[14644.0], size=[247]
(Iter. 11 | Time: 95.589) BestSol = Solution: cost=[14650.0], size=[248]
(Iter. 12 | Time: 103.523) BestSol = Solution: cost=[14661.0], size=[248]
(Iter. 13 | Time: 111.275) BestSol = Solution: cost=[14679.0], size=[248]
(Iter. 14 | Time: 119.262) BestSol = Solution: cost=[14683.0], size=[248]
(Iter. 15 | Time: 127.031) BestSol = Solution: cost=[14692.0], size=[248]
(Iter. 16 | Time: 134.622) BestSol = Solution: cost=[14703.0], size=[248]
(Iter. 17 | Time: 142.695) BestSol = Solution: cost=[14713.0], size=[247]
(Iter. 18 | Time: 150.68) BestSol = Solution: cost=[14720.0], size=[247]
(Iter. 19 | Time: 158.365) BestSol = Solution: cost=[14726.0], size=[246]
(Iter. 20 | Time: 165.962) BestSol = Solution: cost=[14739.0], size=[245]
(Iter. 21 | Time: 173.707) BestSol = Solution: cost=[14743.0], size=[244]
(Iter. 22 | Time: 181.724) BestSol = Solution: cost=[14752.0], size=[243]
(Iter. 23 | Time: 189.589) BestSol = Solution: cost=[14753.0], size=[242]
(Iter. 24 | Time: 197.279) BestSol = Solution: cost=[14765.0], size=[242]
(Iter. 25 | Time: 205.157) BestSol = Solution: cost=[14780.0], size=[242]
(Iter. 26 | Time: 213.129) BestSol = Solution: cost=[14790.0], size=[242]
(Iter. 27 | Time: 220.773) BestSol = Solution: cost=[14793.0], size=[243]
(Iter. 28 | Time: 228.394) BestSol = Solution: cost=[14800.0], size=[243]
(Iter. 29 | Time: 236.025) BestSol = Solution: cost=[14811.0], size=[243]
(Iter. 30 | Time: 243.708) BestSol = Solution: cost=[14827.0], size=[242]
(Iter. 32 | Time: 259.259) BestSol = Solution: cost=[14833.0], size=[242]
(Iter. 34 | Time: 274.598) BestSol = Solution: cost=[14835.0], size=[240]
(Iter. 64 | Time: 506.035) BestSol = Solution: cost=[14853.0], size=[244]
(Iter. 65 | Time: 513.747) BestSol = Solution: cost=[14866.0], size=[244]
(Iter. 66 | Time: 521.418) BestSol = Solution: cost=[14869.0], size=[243]
(Iter. 69 | Time: 544.862) BestSol = Solution: cost=[14872.0], size=[244]
(Iter. 70 | Time: 553.019) BestSol = Solution: cost=[14885.0], size=[244]
(Iter. 72 | Time: 569.52) BestSol = Solution: cost=[14893.0], size=[246]
(Iter. 73 | Time: 577.369) BestSol = Solution: cost=[14904.0], size=[246]
(Iter. 74 | Time: 585.254) BestSol = Solution: cost=[14922.0], size=[246]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[14922.0], size=[246]
Time = 608.374 seg
