(Iter. 0 | Time: 0.956) BestSol = Solution: cost=[4511.0], size=[119]
(Iter. 1 | Time: 2.081) BestSol = Solution: cost=[4523.0], size=[119]
(Iter. 2 | Time: 2.922) BestSol = Solution: cost=[4536.0], size=[119]
(Iter. 3 | Time: 3.639) BestSol = Solution: cost=[4543.0], size=[119]
(Iter. 4 | Time: 4.464) BestSol = Solution: cost=[4549.0], size=[120]
(Iter. 5 | Time: 5.06) BestSol = Solution: cost=[4554.0], size=[121]
(Iter. 6 | Time: 5.66) BestSol = Solution: cost=[4567.0], size=[122]
(Iter. 7 | Time: 6.247) BestSol = Solution: cost=[4584.0], size=[123]
(Iter. 8 | Time: 6.808) BestSol = Solution: cost=[4594.0], size=[123]
(Iter. 9 | Time: 7.368) BestSol = Solution: cost=[4603.0], size=[124]
(Iter. 10 | Time: 8.034) BestSol = Solution: cost=[4617.0], size=[124]
(Iter. 11 | Time: 8.857) BestSol = Solution: cost=[4627.0], size=[124]
(Iter. 12 | Time: 9.504) BestSol = Solution: cost=[4635.0], size=[124]
(Iter. 13 | Time: 10.131) BestSol = Solution: cost=[4650.0], size=[125]
(Iter. 15 | Time: 11.522) BestSol = Solution: cost=[4652.0], size=[124]
(Iter. 16 | Time: 12.18) BestSol = Solution: cost=[4662.0], size=[124]
(Iter. 23 | Time: 16.539) BestSol = Solution: cost=[4667.0], size=[120]
(Iter. 24 | Time: 17.172) BestSol = Solution: cost=[4673.0], size=[120]
(Iter. 25 | Time: 17.791) BestSol = Solution: cost=[4675.0], size=[120]
(Iter. 26 | Time: 18.434) BestSol = Solution: cost=[4707.0], size=[120]
(Iter. 27 | Time: 19.072) BestSol = Solution: cost=[4724.0], size=[120]
(Iter. 28 | Time: 19.671) BestSol = Solution: cost=[4729.0], size=[120]
(Iter. 29 | Time: 20.253) BestSol = Solution: cost=[4736.0], size=[120]
(Iter. 30 | Time: 20.876) BestSol = Solution: cost=[4751.0], size=[120]
(Iter. 31 | Time: 21.495) BestSol = Solution: cost=[4764.0], size=[120]
(Iter. 32 | Time: 22.148) BestSol = Solution: cost=[4782.0], size=[120]
Best solution = Solution: cost=[4782.0], size=[120]
Time = 599.52 seg
