(Iter. 0 | Time: 0.924) BestSol = Solution: cost=[4511.0], size=[119]
(Iter. 1 | Time: 1.913) BestSol = Solution: cost=[4523.0], size=[119]
(Iter. 2 | Time: 2.654) BestSol = Solution: cost=[4536.0], size=[119]
(Iter. 3 | Time: 3.487) BestSol = Solution: cost=[4543.0], size=[119]
(Iter. 4 | Time: 4.46) BestSol = Solution: cost=[4549.0], size=[120]
(Iter. 5 | Time: 5.233) BestSol = Solution: cost=[4554.0], size=[121]
(Iter. 6 | Time: 5.922) BestSol = Solution: cost=[4567.0], size=[122]
(Iter. 7 | Time: 6.597) BestSol = Solution: cost=[4584.0], size=[123]
(Iter. 8 | Time: 7.286) BestSol = Solution: cost=[4594.0], size=[123]
(Iter. 9 | Time: 8.038) BestSol = Solution: cost=[4603.0], size=[124]
(Iter. 10 | Time: 8.945) BestSol = Solution: cost=[4617.0], size=[124]
(Iter. 11 | Time: 9.723) BestSol = Solution: cost=[4627.0], size=[124]
(Iter. 12 | Time: 10.468) BestSol = Solution: cost=[4635.0], size=[124]
(Iter. 13 | Time: 11.142) BestSol = Solution: cost=[4650.0], size=[125]
(Iter. 15 | Time: 12.438) BestSol = Solution: cost=[4652.0], size=[124]
(Iter. 16 | Time: 13.076) BestSol = Solution: cost=[4662.0], size=[124]
(Iter. 23 | Time: 17.669) BestSol = Solution: cost=[4667.0], size=[120]
(Iter. 24 | Time: 18.271) BestSol = Solution: cost=[4673.0], size=[120]
(Iter. 25 | Time: 18.844) BestSol = Solution: cost=[4675.0], size=[120]
(Iter. 26 | Time: 19.424) BestSol = Solution: cost=[4707.0], size=[120]
(Iter. 27 | Time: 20.016) BestSol = Solution: cost=[4724.0], size=[120]
(Iter. 28 | Time: 20.593) BestSol = Solution: cost=[4729.0], size=[120]
(Iter. 29 | Time: 21.167) BestSol = Solution: cost=[4736.0], size=[120]
(Iter. 30 | Time: 21.774) BestSol = Solution: cost=[4751.0], size=[120]
(Iter. 31 | Time: 22.387) BestSol = Solution: cost=[4764.0], size=[120]
(Iter. 32 | Time: 22.985) BestSol = Solution: cost=[4782.0], size=[120]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[4782.0], size=[120]
Time = 602.214 seg
