(Iter. 0 | Time: 16.451) BestSol = Solution: cost=[12316.0], size=[244]
(Iter. 1 | Time: 33.138) BestSol = Solution: cost=[12424.0], size=[244]
(Iter. 2 | Time: 49.426) BestSol = Solution: cost=[12535.0], size=[244]
(Iter. 3 | Time: 65.76) BestSol = Solution: cost=[12623.0], size=[244]
(Iter. 4 | Time: 81.909) BestSol = Solution: cost=[12697.0], size=[244]
(Iter. 5 | Time: 97.881) BestSol = Solution: cost=[12762.0], size=[244]
(Iter. 6 | Time: 113.425) BestSol = Solution: cost=[12804.0], size=[243]
(Iter. 7 | Time: 128.781) BestSol = Solution: cost=[12833.0], size=[243]
(Iter. 8 | Time: 144.7) BestSol = Solution: cost=[12860.0], size=[243]
(Iter. 9 | Time: 160.34) BestSol = Solution: cost=[12890.0], size=[243]
(Iter. 10 | Time: 176.244) BestSol = Solution: cost=[12914.0], size=[243]
(Iter. 11 | Time: 192.13) BestSol = Solution: cost=[12939.0], size=[243]
(Iter. 12 | Time: 207.881) BestSol = Solution: cost=[12960.0], size=[243]
(Iter. 13 | Time: 223.529) BestSol = Solution: cost=[12993.0], size=[243]
(Iter. 14 | Time: 239.036) BestSol = Solution: cost=[13029.0], size=[243]
(Iter. 15 | Time: 254.836) BestSol = Solution: cost=[13065.0], size=[243]
(Iter. 16 | Time: 270.769) BestSol = Solution: cost=[13103.0], size=[243]
(Iter. 17 | Time: 286.386) BestSol = Solution: cost=[13138.0], size=[243]
(Iter. 18 | Time: 302.267) BestSol = Solution: cost=[13182.0], size=[243]
(Iter. 19 | Time: 317.847) BestSol = Solution: cost=[13223.0], size=[243]
(Iter. 20 | Time: 333.488) BestSol = Solution: cost=[13269.0], size=[243]
(Iter. 21 | Time: 348.911) BestSol = Solution: cost=[13310.0], size=[243]
(Iter. 22 | Time: 364.292) BestSol = Solution: cost=[13337.0], size=[243]
(Iter. 23 | Time: 379.706) BestSol = Solution: cost=[13367.0], size=[243]
(Iter. 24 | Time: 395.322) BestSol = Solution: cost=[13395.0], size=[243]
(Iter. 25 | Time: 410.937) BestSol = Solution: cost=[13409.0], size=[243]
(Iter. 26 | Time: 426.342) BestSol = Solution: cost=[13428.0], size=[243]
(Iter. 27 | Time: 441.71) BestSol = Solution: cost=[13445.0], size=[243]
(Iter. 28 | Time: 457.178) BestSol = Solution: cost=[13474.0], size=[243]
(Iter. 29 | Time: 472.874) BestSol = Solution: cost=[13479.0], size=[242]
(Iter. 30 | Time: 488.883) BestSol = Solution: cost=[13484.0], size=[242]
(Iter. 31 | Time: 504.838) BestSol = Solution: cost=[13493.0], size=[243]
(Iter. 32 | Time: 520.314) BestSol = Solution: cost=[13498.0], size=[244]
(Iter. 34 | Time: 551.698) BestSol = Solution: cost=[13505.0], size=[245]
(Iter. 35 | Time: 567.877) BestSol = Solution: cost=[13507.0], size=[246]
(Iter. 36 | Time: 583.503) BestSol = Solution: cost=[13509.0], size=[247]
(Iter. 37 | Time: 599.271) BestSol = Solution: cost=[13510.0], size=[247]
(Iter. 38 | Time: 615.751) BestSol = Solution: cost=[13519.0], size=[247]
>>> Tempo limite atingido (600s)
Best solution = Solution: cost=[13519.0], size=[247]
Time = 621.996 seg
